행정구역별,시군구별,유형별,병상수,의사 인력수
경기,안양시만안구,종합병원,300~499병상,98
경기,안양시만안구,종합병원,100~299병상,18
경기,안양시만안구,병원,100병상이상,13
경기,안양시만안구,병원,30~99병상,9
경기,안양시동안구,상급종합,소계,328
경기,안양시동안구,종합병원,100~299병상,6
경기,안양시동안구,병원,100병상이상,9
경기,안양시동안구,병원,30~99병상,73
경기,부천시원미구,상급종합,소계,322
경기,부천시원미구,종합병원,500병상이상,250
경기,부천시원미구,종합병원,100~299병상,34
경기,부천시원미구,병원,100병상이상,65
경기,부천시원미구,병원,30~99병상,54
경기,부천시소사구,종합병원,300~499병상,97
경기,부천시소사구,병원,100병상이상,12
경기,부천시소사구,병원,30~99병상,15
경기,부천시오정구,병원,30~99병상,24
경기,광명시,종합병원,300~499병상,114
경기,광명시,병원,30~99병상,22
경기,평택시,종합병원,300~499병상,61
경기,평택시,종합병원,100~299병상,53
경기,평택시,병원,100병상이상,29
경기,평택시,병원,30~99병상,39
경기,동두천시,병원,100병상이상,24
경기,안산시상록구,종합병원,300~499병상,25
경기,안산시상록구,병원,100병상이상,35
경기,안산시상록구,병원,30~99병상,32
경기,안산시단원구,상급종합,소계,306
경기,안산시단원구,종합병원,300~499병상,58
경기,안산시단원구,종합병원,100~299병상,30
경기,안산시단원구,병원,100병상이상,32
경기,안산시단원구,병원,30~99병상,55
경기,고양시덕양구,종합병원,500병상이상,234
경기,고양시덕양구,병원,100병상이상,62
경기,고양시덕양구,병원,30~99병상,21
경기,고양시일산동구,종합병원,500병상이상,645
경기,고양시일산동구,병원,100병상이상,33
경기,고양시일산동구,병원,30~99병상,72
경기,고양시일산서구,종합병원,500병상이상,285
경기,고양시일산서구,병원,100병상이상,7
경기,고양시일산서구,병원,30~99병상,11
경기,구리시,종합병원,500병상이상,172
경기,구리시,병원,100병상이상,30
경기,구리시,병원,30~99병상,24
경기,남양주시,종합병원,300~499병상,34
경기,남양주시,종합병원,100~299병상,46
경기,남양주시,병원,100병상이상,36
경기,남양주시,병원,30~99병상,31
경기,오산시,종합병원,300~499병상,51
경기,오산시,병원,100병상이상,19
경기,오산시,병원,30~99병상,11
경기,시흥시,종합병원,100~299병상,78
경기,시흥시,병원,100병상이상,6
경기,시흥시,병원,30~99병상,4
경기,군포시,종합병원,300~499병상,143
경기,군포시,병원,100병상이상,11
경기,군포시,병원,30~99병상,24
경기,의왕시,병원,100병상이상,35
경기,하남시,병원,30~99병상,19
경기,용인시처인구,종합병원,100~299병상,53
경기,용인시처인구,병원,100병상이상,16
경기,용인시처인구,병원,30~99병상,10
경기,용인시기흥구,종합병원,100~299병상,39
경기,용인시기흥구,병원,100병상이상,42
경기,용인시기흥구,병원,30~99병상,5
경기,용인시수지구,병원,100병상이상,10
경기,용인시수지구,병원,30~99병상,14
경기,파주시,종합병원,100~299병상,27
경기,파주시,병원,100병상이상,24
경기,파주시,병원,30~99병상,42
경기,이천시,종합병원,100~299병상,16
경기,이천시,병원,100병상이상,13
경기,이천시,병원,30~99병상,21
경기,안성시,종합병원,100~299병상,18
경기,안성시,병원,100병상이상,18
경기,안성시,병원,30~99병상,9
경기,김포시,종합병원,300~499병상,63
경기,김포시,종합병원,100~299병상,39
경기,김포시,병원,100병상이상,19
경기,김포시,병원,30~99병상,20
경기,화성시,종합병원,500병상이상,178
경기,화성시,종합병원,100~299병상,18
경기,화성시,병원,100병상이상,50
경기,화성시,병원,30~99병상,30
경기,광주시,병원,100병상이상,28
경기,광주시,병원,30~99병상,7
경기,양주시,병원,100병상이상,71
경기,양주시,병원,30~99병상,2
경기,포천시,종합병원,100~299병상,36
경기,포천시,병원,100병상이상,31
경기,포천시,병원,30~99병상,8
경기,여주시,병원,100병상이상,25
경기,여주시,병원,30~99병상,9
경기,가평군,병원,100병상이상,43
경기,가평군,병원,30~99병상,5
경기,양평군,병원,100병상이상,27
강원,소계,상급종합,소계,371
강원,소계,종합병원,500병상이상,434
강원,소계,종합병원,300~499병상,185
강원,소계,종합병원,100~299병상,135
강원,소계,병원,100병상이상,243
강원,소계,병원,30~99병상,62
강원,춘천시,종합병원,500병상이상,211
강원,춘천시,종합병원,300~499병상,145
강원,춘천시,병원,100병상이상,85
강원,춘천시,병원,30~99병상,4
강원,원주시,상급종합,소계,371
강원,원주시,종합병원,100~299병상,25
강원,원주시,병원,100병상이상,39
강원,원주시,병원,30~99병상,29
강원,강릉시,종합병원,500병상이상,223
강원,강릉시,종합병원,100~299병상,25
강원,강릉시,병원,100병상이상,33
강원,강릉시,병원,30~99병상,5
강원,동해시,종합병원,300~499병상,23
강원,동해시,병원,100병상이상,24
강원,태백시,종합병원,300~499병상,17
강원,속초시,종합병원,100~299병상,39
강원,삼척시,종합병원,100~299병상,20
강원,삼척시,병원,100병상이상,7
강원,홍천군,종합병원,100~299병상,11
강원,홍천군,병원,100병상이상,26
강원,홍천군,병원,30~99병상,2
강원,횡성군,병원,100병상이상,11
강원,영월군,종합병원,100~299병상,15
강원,영월군,병원,30~99병상,4
강원,정선군,병원,100병상이상,9
강원,철원군,병원,100병상이상,9
강원,양구군,병원,30~99병상,12
강원,인제군,병원,30~99병상,6
충북,소계,상급종합,소계,283
충북,소계,종합병원,500병상이상,47
충북,소계,종합병원,300~499병상,383
충북,소계,종합병원,100~299병상,109
충북,소계,병원,100병상이상,147
충북,소계,병원,30~99병상,99
충북,청주시상당구,종합병원,300~499병상,108
충북,청주시상당구,병원,100병상이상,44
충북,청주시서원구,상급종합,소계,283
충북,청주시서원구,종합병원,500병상이상,47
충북,청주시서원구,병원,100병상이상,5
충북,청주시서원구,병원,30~99병상,31
충북,청주시흥덕구,종합병원,300~499병상,53
충북,청주시흥덕구,병원,100병상이상,25
충북,청주시흥덕구,병원,30~99병상,27
충북,청주시청원구,종합병원,300~499병상,107
충북,청주시청원구,병원,30~99병상,22
충북,충주시,종합병원,300~499병상,115
충북,충주시,종합병원,100~299병상,30
충북,충주시,병원,100병상이상,4
충북,충주시,병원,30~99병상,2
충북,제천시,종합병원,100~299병상,40
충북,제천시,병원,100병상이상,14
충북,보은군,병원,100병상이상,5
충북,보은군,병원,30~99병상,6
충북,옥천군,종합병원,100~299병상,17
충북,영동군,병원,100병상이상,12
충북,증평군,병원,100병상이상,4
충북,증평군,병원,30~99병상,2
충북,진천군,종합병원,100~299병상,22
충북,괴산군,병원,100병상이상,9
충북,괴산군,병원,30~99병상,4
충북,음성군,병원,100병상이상,25
충북,음성군,병원,30~99병상,5
충남,소계,상급종합,소계,615
충남,소계,종합병원,500병상이상,48
충남,소계,종합병원,300~499병상,74
충남,소계,종합병원,100~299병상,160
충남,소계,병원,100병상이상,133
충남,소계,병원,30~99병상,141
충남,천안시동남구,상급종합,소계,615
충남,천안시동남구,종합병원,100~299병상,23
충남,천안시동남구,병원,100병상이상,3
충남,천안시동남구,병원,30~99병상,10
충남,천안시서북구,종합병원,300~499병상,43
충남,천안시서북구,병원,100병상이상,29
충남,천안시서북구,병원,30~99병상,56
충남,공주시,종합병원,100~299병상,22
충남,공주시,병원,100병상이상,18
충남,공주시,병원,30~99병상,5
충남,보령시,종합병원,100~299병상,16
충남,보령시,병원,100병상이상,14
충남,아산시,종합병원,100~299병상,27
충남,아산시,병원,100병상이상,31
충남,아산시,병원,30~99병상,22
충남,서산시,종합병원,100~299병상,45
충남,논산시,종합병원,500병상이상,48
충남,논산시,병원,100병상이상,20
충남,논산시,병원,30~99병상,3
충남,계룡시,병원,100병상이상,1
충남,계룡시,병원,30~99병상,13
충남,당진시,종합병원,100~299병상,18
충남,당진시,병원,30~99병상,9
충남,금산군,병원,30~99병상,5
충남,부여군,병원,100병상이상,3
충남,부여군,병원,30~99병상,10
충남,서천군,병원,100병상이상,3
충남,서천군,병원,30~99병상,4
충남,청양군,병원,30~99병상,3
충남,홍성군,종합병원,300~499병상,31
충남,홍성군,병원,30~99병상,1
충남,예산군,종합병원,100~299병상,9
충남,예산군,병원,100병상이상,11
전북,소계,상급종합,소계,709
전북,소계,종합병원,500병상이상,218
전북,소계,종합병원,300~499병상,42
전북,소계,종합병원,100~299병상,197
전북,소계,병원,100병상이상,249
전북,소계,병원,30~99병상,161
전북,전주시완산구,종합병원,500병상이상,218
전북,전주시완산구,종합병원,100~299병상,29
전북,전주시완산구,병원,100병상이상,77
전북,전주시완산구,병원,30~99병상,56
전북,전주시덕진구,상급종합,소계,426
전북,전주시덕진구,종합병원,100~299병상,14
전북,전주시덕진구,병원,100병상이상,41
전북,전주시덕진구,병원,30~99병상,43
전북,군산시,종합병원,300~499병상,42
전북,군산시,종합병원,100~299병상,33
전북,군산시,병원,100병상이상,30
전북,군산시,병원,30~99병상,4
전북,익산시,상급종합,소계,283
전북,익산시,종합병원,100~299병상,30
전북,익산시,병원,30~99병상,24
전북,정읍시,종합병원,100~299병상,24
전북,정읍시,병원,100병상이상,13
전북,정읍시,병원,30~99병상,7
전북,남원시,종합병원,100~299병상,35
전북,남원시,병원,100병상이상,8
전북,김제시,병원,100병상이상,41
전북,김제시,병원,30~99병상,1
전북,완주군,병원,100병상이상,22
전북,진안군,병원,30~99병상,12
전북,임실군,병원,100병상이상,2
전북,순창군,병원,30~99병상,1
전북,고창군,종합병원,100~299병상,17
전북,고창군,병원,30~99병상,9
전북,부안군,종합병원,100~299병상,15
전북,부안군,병원,100병상이상,15
전북,부안군,병원,30~99병상,4
전남,소계,상급종합,소계,193
전남,소계,종합병원,500병상이상,160
전남,소계,종합병원,300~499병상,152
전남,소계,종합병원,100~299병상,257
전남,소계,병원,100병상이상,405
전남,소계,병원,30~99병상,191
전남,목포시,종합병원,500병상이상,61
전남,목포시,종합병원,300~499병상,91
전남,목포시,종합병원,100~299병상,18
전남,목포시,병원,100병상이상,32
전남,목포시,병원,30~99병상,41
전남,여수시,종합병원,300~499병상,40
전남,여수시,종합병원,100~299병상,51
전남,여수시,병원,100병상이상,64
전남,여수시,병원,30~99병상,12
전남,순천시,종합병원,500병상이상,99
전남,순천시,종합병원,100~299병상,64
전남,순천시,병원,100병상이상,40
전남,순천시,병원,30~99병상,82
전남,나주시,종합병원,100~299병상,19
전남,나주시,병원,100병상이상,45
전남,나주시,병원,30~99병상,8
전남,광양시,종합병원,100~299병상,20
전남,광양시,병원,100병상이상,15
전남,광양시,병원,30~99병상,8
전남,담양군,병원,100병상이상,18
전남,담양군,병원,30~99병상,2
전남,곡성군,병원,100병상이상,6
전남,구례군,병원,30~99병상,7
전남,고흥군,종합병원,100~299병상,27
전남,고흥군,병원,100병상이상,12
전남,보성군,병원,100병상이상,16
전남,화순군,상급종합,소계,193
전남,화순군,병원,100병상이상,32
전남,장흥군,종합병원,100~299병상,11
전남,장흥군,병원,100병상이상,9
전남,강진군,병원,100병상이상,22
전남,강진군,병원,30~99병상,3
전남,해남군,종합병원,300~499병상,21
전남,해남군,병원,100병상이상,28
전남,해남군,병원,30~99병상,6
전남,영암군,병원,100병상이상,8
전남,영암군,병원,30~99병상,1
전남,무안군,종합병원,100~299병상,15
전남,무안군,병원,30~99병상,7
전남,함평군,병원,100병상이상,28
전남,함평군,병원,30~99병상,3
전남,영광군,종합병원,100~299병상,32
전남,영광군,병원,100병상이상,9
전남,장성군,병원,100병상이상,13
전남,완도군,병원,100병상이상,8
전남,진도군,병원,30~99병상,6
전남,신안군,병원,30~99병상,5
경북,소계,종합병원,500병상이상,377
경북,소계,종합병원,300~499병상,285
경북,소계,종합병원,100~299병상,224
경북,소계,병원,100병상이상,307
경북,소계,병원,30~99병상,172
경북,포항시남구,종합병원,500병상이상,171
경북,포항시남구,병원,100병상이상,20
경북,포항시남구,병원,30~99병상,1
경북,포항시북구,종합병원,300~499병상,7
경북,포항시북구,종합병원,100~299병상,44
경북,포항시북구,병원,100병상이상,12
경북,포항시북구,병원,30~99병상,60
경북,경주시,종합병원,300~499병상,119
경북,경주시,병원,100병상이상,38
경북,경주시,병원,30~99병상,19
경북,김천시,종합병원,100~299병상,63
경북,김천시,병원,100병상이상,13
경북,안동시,종합병원,500병상이상,141
경북,안동시,종합병원,100~299병상,24
경북,안동시,병원,100병상이상,14
경북,안동시,병원,30~99병상,4
경북,구미시,종합병원,300~499병상,159
경북,구미시,종합병원,100~299병상,30
경북,구미시,병원,100병상이상,23
경북,구미시,병원,30~99병상,11
경북,영주시,병원,100병상이상,23
경북,영주시,병원,30~99병상,14
경북,영천시,종합병원,100~299병상,20
경북,영천시,병원,100병상이상,22
경북,상주시,종합병원,100~299병상,43
경북,상주시,병원,100병상이상,2
경북,문경시,종합병원,500병상이상,30
경북,문경시,병원,30~99병상,11
경북,경산시,종합병원,500병상이상,35
경북,경산시,병원,100병상이상,71
경북,경산시,병원,30~99병상,15
경북,의성군,병원,100병상이상,4
경북,의성군,병원,30~99병상,4
경북,청송군,병원,100병상이상,5
경북,영양군,병원,30~99병상,3
경북,청도군,병원,100병상이상,20
경북,고령군,병원,30~99병상,6
경북,성주군,병원,100병상이상,3
경북,성주군,병원,30~99병상,5
경북,칠곡군,병원,100병상이상,22
경북,예천군,병원,100병상이상,10
경북,봉화군,병원,100병상이상,5
경북,울진군,병원,30~99병상,19
경남,소계,상급종합,소계,723
경남,소계,종합병원,500병상이상,221
경남,소계,종합병원,300~499병상,249
경남,소계,종합병원,100~299병상,362
경남,소계,병원,100병상이상,600
경남,소계,병원,30~99병상,285
경남,창원시의창구,종합병원,300~499병상,103
경남,창원시의창구,병원,100병상이상,21
경남,창원시의창구,병원,30~99병상,33
경남,창원시성산구,종합병원,300~499병상,53
경남,창원시성산구,종합병원,100~299병상,24
경남,창원시성산구,병원,100병상이상,12
경남,창원시성산구,병원,30~99병상,38
경남,창원시마산합포구,종합병원,300~499병상,39
경남,창원시마산합포구,종합병원,100~299병상,32
경남,창원시마산합포구,병원,100병상이상,46
경남,창원시마산합포구,병원,30~99병상,23
경남,창원시마산회원구,종합병원,500병상이상,221
경남,창원시마산회원구,종합병원,100~299병상,30
경남,창원시마산회원구,병원,100병상이상,25
경남,창원시마산회원구,병원,30~99병상,7
경남,창원시진해구,종합병원,100~299병상,18
경남,창원시진해구,병원,100병상이상,47
경남,창원시진해구,병원,30~99병상,12
경남,진주시,상급종합,소계,369
경남,진주시,종합병원,100~299병상,72
경남,진주시,병원,100병상이상,86
경남,진주시,병원,30~99병상,28
경남,통영시,병원,100병상이상,67
경남,통영시,병원,30~99병상,9
경남,사천시,병원,100병상이상,55
경남,사천시,병원,30~99병상,9
경남,김해시,종합병원,300~499병상,54
경남,김해시,종합병원,100~299병상,68
경남,김해시,병원,100병상이상,73
경남,김해시,병원,30~99병상,50
경남,밀양시,병원,100병상이상,16
경남,밀양시,병원,30~99병상,19
경남,거제시,종합병원,100~299병상,75
경남,거제시,병원,100병상이상,12
경남,거제시,병원,30~99병상,10
경남,양산시,상급종합,소계,354
경남,양산시,종합병원,100~299병상,43
경남,양산시,병원,100병상이상,37
경남,양산시,병원,30~99병상,8
경남,의령군,병원,100병상이상,3
경남,의령군,병원,30~99병상,4
경남,함안군,병원,100병상이상,8
경남,함안군,병원,30~99병상,3
경남,창녕군,병원,100병상이상,38
경남,고성군,병원,100병상이상,19
경남,남해군,병원,100병상이상,8
경남,하동군,병원,100병상이상,11
경남,함양군,병원,30~99병상,5
경남,거창군,병원,100병상이상,10
경남,거창군,병원,30~99병상,14
경남,합천군,병원,100병상이상,6
경남,합천군,병원,30~99병상,13
제주,소계,종합병원,500병상이상,335
제주,소계,종합병원,100~299병상,145
제주,소계,병원,100병상이상,17
제주,소계,병원,30~99병상,21
제주,제주시,종합병원,500병상이상,335
제주,제주시,종합병원,100~299병상,114
제주,제주시,병원,100병상이상,17
제주,제주시,병원,30~99병상,6
제주,서귀포시,종합병원,100~299병상,31
제주,서귀포시,병원,30~99병상,15
