"시군구별","유형별","진료과목별","시점","전문의수[명]",
"전국","300~499병상","내과","2015년","810",
"전국","300~499병상","신경과","2015년","131",
"전국","300~499병상","정신건강의학과","2015년","96",
"전국","300~499병상","외과","2015년","257",
"전국","300~499병상","정형외과","2015년","253",
"전국","300~499병상","신경외과","2015년","174",
"전국","300~499병상","흉부외과","2015년","72",
"전국","300~499병상","성형외과","2015년","34",
"전국","300~499병상","마취통증의학과","2015년","198",
"전국","300~499병상","산부인과","2015년","185",
"전국","300~499병상","소아청소년과","2015년","188",
"전국","300~499병상","안과","2015년","74",
"전국","300~499병상","이비인후과","2015년","106",
"전국","300~499병상","피부과","2015년","37",
"전국","300~499병상","비뇨기과","2015년","112",
"전국","300~499병상","영상의학과","2015년","265",
"전국","300~499병상","방사선종양학과","2015년","15",
"전국","300~499병상","병리과","2015년","70",
"전국","300~499병상","진단검사의학과","2015년","74",
"전국","300~499병상","결핵과","2015년","3",
"전국","300~499병상","재활의학과","2015년","73",
"전국","300~499병상","핵의학과","2015년","15",
"전국","300~499병상","가정의학과","2015년","123",
"전국","300~499병상","응급의학과","2015년","216",
"전국","300~499병상","직업환경의학과","2015년","61",
"전국","300~499병상","예방의학과","2015년","11",
"전국","100~299병상","내과","2015년","843",
"전국","100~299병상","신경과","2015년","134",
"전국","100~299병상","정신건강의학과","2015년","57",
"전국","100~299병상","외과","2015년","381",
"전국","100~299병상","정형외과","2015년","443",
"전국","100~299병상","신경외과","2015년","256",
"전국","100~299병상","흉부외과","2015년","48",
"전국","100~299병상","성형외과","2015년","27",
"전국","100~299병상","마취통증의학과","2015년","270",
"전국","100~299병상","산부인과","2015년","249",
"전국","100~299병상","소아청소년과","2015년","205",
"전국","100~299병상","안과","2015년","23",
"전국","100~299병상","이비인후과","2015년","67",
"전국","100~299병상","피부과","2015년","4",
"전국","100~299병상","비뇨기과","2015년","105",
"전국","100~299병상","영상의학과","2015년","301",
"전국","100~299병상","방사선종양학과","2015년","4",
"전국","100~299병상","병리과","2015년","47",
"전국","100~299병상","진단검사의학과","2015년","148",
"전국","100~299병상","결핵과","2015년","1",
"전국","100~299병상","재활의학과","2015년","62",
"전국","100~299병상","핵의학과","2015년","2",
"전국","100~299병상","가정의학과","2015년","150",
"전국","100~299병상","응급의학과","2015년","298",
"전국","100~299병상","직업환경의학과","2015년","61",
"전국","100~299병상","예방의학과","2015년","8",
"전국","100병상이상","내과","2015년","767",
"전국","100병상이상","신경과","2015년","128",
"전국","100병상이상","정신건강의학과","2015년","1127",
"전국","100병상이상","외과","2015년","299",
"전국","100병상이상","정형외과","2015년","829",
"전국","100병상이상","신경외과","2015년","355",
"전국","100병상이상","흉부외과","2015년","27",
"전국","100병상이상","성형외과","2015년","19",
"전국","100병상이상","마취통증의학과","2015년","342",
"전국","100병상이상","산부인과","2015년","175",
"전국","100병상이상","소아청소년과","2015년","121",
"전국","100병상이상","안과","2015년","33",
"전국","100병상이상","이비인후과","2015년","48",
"전국","100병상이상","피부과","2015년","28",
"전국","100병상이상","비뇨기과","2015년","48",
"전국","100병상이상","영상의학과","2015년","353",
"전국","100병상이상","병리과","2015년","7",
"전국","100병상이상","진단검사의학과","2015년","20",
"전국","100병상이상","결핵과","2015년","11",
"전국","100병상이상","재활의학과","2015년","224",
"전국","100병상이상","핵의학과","2015년","2",
"전국","100병상이상","가정의학과","2015년","174",
"전국","100병상이상","응급의학과","2015년","68",
"전국","100병상이상","직업환경의학과","2015년","27",
"전국","100병상이상","예방의학과","2015년","14",
"전국","30~99병상","내과","2015년","508",
"전국","30~99병상","신경과","2015년","35",
"전국","30~99병상","정신건강의학과","2015년","37",
"전국","30~99병상","외과","2015년","308",
"전국","30~99병상","정형외과","2015년","704",
"전국","30~99병상","신경외과","2015년","347",
"전국","30~99병상","흉부외과","2015년","17",
"전국","30~99병상","성형외과","2015년","49",
"전국","30~99병상","마취통증의학과","2015년","415",
"전국","30~99병상","산부인과","2015년","925",
"전국","30~99병상","소아청소년과","2015년","605",
"전국","30~99병상","안과","2015년","179",
"전국","30~99병상","이비인후과","2015년","68",
"전국","30~99병상","피부과","2015년","11",
"전국","30~99병상","비뇨기과","2015년","19",
"전국","30~99병상","영상의학과","2015년","321",
"전국","30~99병상","방사선종양학과","2015년","1",
"전국","30~99병상","병리과","2015년","5",
"전국","30~99병상","진단검사의학과","2015년","6",
"전국","30~99병상","결핵과","2015년","1",
"전국","30~99병상","재활의학과","2015년","83",
"전국","30~99병상","핵의학과","2015년","4",
"전국","30~99병상","가정의학과","2015년","176",
"전국","30~99병상","응급의학과","2015년","20",
"전국","30~99병상","직업환경의학과","2015년","2",
"전국","30~99병상","예방의학과","2015년","2",
"전국","300병상이상","내과","2015년","134",
"전국","300병상이상","신경과","2015년","63",
"전국","300병상이상","정신건강의학과","2015년","19",
"전국","300병상이상","외과","2015년","75",
"전국","300병상이상","정형외과","2015년","22",
"전국","300병상이상","신경외과","2015년","22",
"전국","300병상이상","흉부외과","2015년","8",
"전국","300병상이상","성형외과","2015년","3",
"전국","300병상이상","마취통증의학과","2015년","10",
"전국","300병상이상","산부인과","2015년","36",
"전국","300병상이상","소아청소년과","2015년","11",
"전국","300병상이상","이비인후과","2015년","2",
"전국","300병상이상","피부과","2015년","1",
"전국","300병상이상","비뇨기과","2015년","6",
"전국","300병상이상","영상의학과","2015년","3",
"전국","300병상이상","방사선종양학과","2015년","1",
"전국","300병상이상","병리과","2015년","1",
"전국","300병상이상","재활의학과","2015년","110",
"전국","300병상이상","가정의학과","2015년","131",
"전국","300병상이상","응급의학과","2015년","1",
"전국","300병상이상","예방의학과","2015년","1",
"전국","100~299병상","내과","2015년","510",
"전국","100~299병상","신경과","2015년","164",
"전국","100~299병상","정신건강의학과","2015년","141",
"전국","100~299병상","외과","2015년","469",
"전국","100~299병상","정형외과","2015년","155",
"전국","100~299병상","신경외과","2015년","138",
"전국","100~299병상","흉부외과","2015년","41",
"전국","100~299병상","성형외과","2015년","6",
"전국","100~299병상","마취통증의학과","2015년","47",
"전국","100~299병상","산부인과","2015년","206",
"전국","100~299병상","소아청소년과","2015년","60",
"전국","100~299병상","안과","2015년","7",
"전국","100~299병상","이비인후과","2015년","17",
"전국","100~299병상","피부과","2015년","7",
"전국","100~299병상","비뇨기과","2015년","37",
"전국","100~299병상","영상의학과","2015년","9",
"전국","100~299병상","방사선종양학과","2015년","3",
"전국","100~299병상","병리과","2015년","2",
"전국","100~299병상","진단검사의학과","2015년","5",
"전국","100~299병상","결핵과","2015년","5",
"전국","100~299병상","재활의학과","2015년","306",
"전국","100~299병상","가정의학과","2015년","713",
"전국","100~299병상","응급의학과","2015년","8",
"전국","100~299병상","직업환경의학과","2015년","1",
"전국","100~299병상","예방의학과","2015년","3",
"전국","30~99병상","내과","2015년","53",
"전국","30~99병상","신경과","2015년","6",
"전국","30~99병상","정신건강의학과","2015년","7",
"전국","30~99병상","외과","2015년","63",
"전국","30~99병상","정형외과","2015년","21",
"전국","30~99병상","신경외과","2015년","15",
"전국","30~99병상","흉부외과","2015년","7",
"전국","30~99병상","성형외과","2015년","2",
"전국","30~99병상","마취통증의학과","2015년","12",
"전국","30~99병상","산부인과","2015년","41",
"전국","30~99병상","소아청소년과","2015년","15",
"전국","30~99병상","안과","2015년","2",
"전국","30~99병상","이비인후과","2015년","5",
"전국","30~99병상","비뇨기과","2015년","2",
"전국","30~99병상","영상의학과","2015년","3",
"전국","30~99병상","병리과","2015년","1",
"전국","30~99병상","진단검사의학과","2015년","3",
"전국","30~99병상","결핵과","2015년","3",
"전국","30~99병상","재활의학과","2015년","15",
"전국","30~99병상","가정의학과","2015년","83",
"전국","30~99병상","응급의학과","2015년","3",
"전국","30~99병상","직업환경의학과","2015년","1",
"전국","30~99병상","예방의학과","2015년","1",
"전국","병상있음","내과","2015년","689",
"전국","병상있음","신경과","2015년","40",
"전국","병상있음","정신건강의학과","2015년","151",
"전국","병상있음","외과","2015년","1244",
"전국","병상있음","정형외과","2015년","1368",
"전국","병상있음","신경외과","2015년","247",
"전국","병상있음","흉부외과","2015년","102",
"전국","병상있음","성형외과","2015년","213",
"전국","병상있음","마취통증의학과","2015년","367",
"전국","병상있음","산부인과","2015년","1638",
"전국","병상있음","소아청소년과","2015년","327",
"전국","병상있음","안과","2015년","578",
"전국","병상있음","이비인후과","2015년","1020",
"전국","병상있음","피부과","2015년","30",
"전국","병상있음","비뇨기과","2015년","292",
"전국","병상있음","영상의학과","2015년","161",
"전국","병상있음","방사선종양학과","2015년","1",
"전국","병상있음","병리과","2015년","4",
"전국","병상있음","진단검사의학과","2015년","14",
"전국","병상있음","결핵과","2015년","4",
"전국","병상있음","재활의학과","2015년","60",
"전국","병상있음","핵의학과","2015년","5",
"전국","병상있음","가정의학과","2015년","400",
"전국","병상있음","응급의학과","2015년","12",
"전국","병상있음","직업환경의학과","2015년","18",
"전국","병상있음","예방의학과","2015년","4",
"전국","병상없음","내과","2015년","5171",
"전국","병상없음","신경과","2015년","200",
"전국","병상없음","정신건강의학과","2015년","982",
"전국","병상없음","외과","2015년","1215",
"전국","병상없음","정형외과","2015년","793",
"전국","병상없음","신경외과","2015년","247",
"전국","병상없음","흉부외과","2015년","227",
"전국","병상없음","성형외과","2015년","876",
"전국","병상없음","마취통증의학과","2015년","1240",
"전국","병상없음","산부인과","2015년","1359",
"전국","병상없음","소아청소년과","2015년","2783",
"전국","병상없음","안과","2015년","1484",
"전국","병상없음","이비인후과","2015년","1650",
"전국","병상없음","피부과","2015년","1510",
"전국","병상없음","비뇨기과","2015년","1254",
"전국","병상없음","영상의학과","2015년","464",
"전국","병상없음","방사선종양학과","2015년","12",
"전국","병상없음","병리과","2015년","147",
"전국","병상없음","진단검사의학과","2015년","134",
"전국","병상없음","결핵과","2015년","51",
"전국","병상없음","재활의학과","2015년","338",
"전국","병상없음","핵의학과","2015년","3",
"전국","병상없음","가정의학과","2015년","3279",
"전국","병상없음","응급의학과","2015년","63",
"전국","병상없음","직업환경의학과","2015년","130",
"전국","병상없음","예방의학과","2015년","42",
"서울","상급종합","내과","2015년","1413",
"서울","상급종합","신경과","2015년","186",
"서울","상급종합","정신건강의학과","2015년","154",
"서울","상급종합","외과","2015년","472",
"서울","상급종합","정형외과","2015년","240",
"서울","상급종합","신경외과","2015년","204",
"서울","상급종합","흉부외과","2015년","150",
"서울","상급종합","성형외과","2015년","81",
"서울","상급종합","마취통증의학과","2015년","359",
"서울","상급종합","산부인과","2015년","199",
"서울","상급종합","소아청소년과","2015년","284",
"서울","상급종합","안과","2015년","173",
"서울","상급종합","이비인후과","2015년","153",
"서울","상급종합","피부과","2015년","81",
"서울","상급종합","비뇨기과","2015년","135",
"서울","상급종합","영상의학과","2015년","559",
"서울","상급종합","방사선종양학과","2015년","70",
"서울","상급종합","병리과","2015년","157",
"서울","상급종합","진단검사의학과","2015년","114",
"서울","상급종합","재활의학과","2015년","92",
"서울","상급종합","핵의학과","2015년","50",
"서울","상급종합","가정의학과","2015년","110",
"서울","상급종합","응급의학과","2015년","113",
"서울","상급종합","직업환경의학과","2015년","14",
"서울","상급종합","예방의학과","2015년","11",
"서울","500병상이상","내과","2015년","309",
"서울","500병상이상","신경과","2015년","45",
"서울","500병상이상","정신건강의학과","2015년","34",
"서울","500병상이상","외과","2015년","80",
"서울","500병상이상","정형외과","2015년","92",
"서울","500병상이상","신경외과","2015년","48",
"서울","500병상이상","흉부외과","2015년","27",
"서울","500병상이상","성형외과","2015년","22",
"서울","500병상이상","마취통증의학과","2015년","57",
"서울","500병상이상","산부인과","2015년","52",
"서울","500병상이상","소아청소년과","2015년","55",
"서울","500병상이상","안과","2015년","41",
"서울","500병상이상","이비인후과","2015년","41",
"서울","500병상이상","피부과","2015년","25",
"서울","500병상이상","비뇨기과","2015년","38",
"서울","500병상이상","영상의학과","2015년","95",
"서울","500병상이상","방사선종양학과","2015년","11",
"서울","500병상이상","병리과","2015년","32",
"서울","500병상이상","진단검사의학과","2015년","26",
"서울","500병상이상","재활의학과","2015년","27",
"서울","500병상이상","핵의학과","2015년","8",
"서울","500병상이상","가정의학과","2015년","23",
"서울","500병상이상","응급의학과","2015년","43",
"서울","500병상이상","직업환경의학과","2015년","5",
"서울","500병상이상","예방의학과","2015년","1",
"서울","300~499병상","내과","2015년","194",
"서울","300~499병상","신경과","2015년","22",
"서울","300~499병상","정신건강의학과","2015년","21",
"서울","300~499병상","외과","2015년","67",
"서울","300~499병상","정형외과","2015년","51",
"서울","300~499병상","신경외과","2015년","31",
"서울","300~499병상","흉부외과","2015년","12",
"서울","300~499병상","성형외과","2015년","11",
"서울","300~499병상","마취통증의학과","2015년","46",
"서울","300~499병상","산부인과","2015년","69",
"서울","300~499병상","소아청소년과","2015년","44",
"서울","300~499병상","안과","2015년","30",
"서울","300~499병상","이비인후과","2015년","28",
"서울","300~499병상","피부과","2015년","15",
"서울","300~499병상","비뇨기과","2015년","31",
"서울","300~499병상","영상의학과","2015년","68",
"서울","300~499병상","방사선종양학과","2015년","10",
"서울","300~499병상","병리과","2015년","25",
"서울","300~499병상","진단검사의학과","2015년","18",
"서울","300~499병상","재활의학과","2015년","14",
"서울","300~499병상","핵의학과","2015년","10",
"서울","300~499병상","가정의학과","2015년","28",
"서울","300~499병상","응급의학과","2015년","34",
"서울","300~499병상","직업환경의학과","2015년","5",
"서울","300~499병상","예방의학과","2015년","1",
"서울","100~299병상","내과","2015년","130",
"서울","100~299병상","신경과","2015년","17",
"서울","100~299병상","정신건강의학과","2015년","10",
"서울","100~299병상","외과","2015년","68",
"서울","100~299병상","정형외과","2015년","79",
"서울","100~299병상","신경외과","2015년","39",
"서울","100~299병상","흉부외과","2015년","6",
"서울","100~299병상","성형외과","2015년","8",
"서울","100~299병상","마취통증의학과","2015년","49",
"서울","100~299병상","산부인과","2015년","89",
"서울","100~299병상","소아청소년과","2015년","29",
"서울","100~299병상","안과","2015년","4",
"서울","100~299병상","이비인후과","2015년","7",
"서울","100~299병상","피부과","2015년","1",
"서울","100~299병상","비뇨기과","2015년","17",
"서울","100~299병상","영상의학과","2015년","51",
"서울","100~299병상","병리과","2015년","17",
"서울","100~299병상","진단검사의학과","2015년","21",
"서울","100~299병상","재활의학과","2015년","7",
"서울","100~299병상","가정의학과","2015년","26",
"서울","100~299병상","응급의학과","2015년","42",
"서울","100병상이상","내과","2015년","67",
"서울","100병상이상","신경과","2015년","20",
"서울","100병상이상","정신건강의학과","2015년","88",
"서울","100병상이상","외과","2015년","39",
"서울","100병상이상","정형외과","2015년","85",
"서울","100병상이상","신경외과","2015년","46",
"서울","100병상이상","흉부외과","2015년","1",
"서울","100병상이상","성형외과","2015년","2",
"서울","100병상이상","마취통증의학과","2015년","27",
"서울","100병상이상","산부인과","2015년","11",
"서울","100병상이상","소아청소년과","2015년","20",
"서울","100병상이상","안과","2015년","1",
"서울","100병상이상","이비인후과","2015년","3",
"서울","100병상이상","비뇨기과","2015년","5",
"서울","100병상이상","영상의학과","2015년","37",
"서울","100병상이상","병리과","2015년","1",
"서울","100병상이상","진단검사의학과","2015년","4",
"서울","100병상이상","결핵과","2015년","6",
"서울","100병상이상","재활의학과","2015년","37",
"서울","100병상이상","가정의학과","2015년","21",
"서울","100병상이상","응급의학과","2015년","5",
"서울","100병상이상","예방의학과","2015년","1",
"서울","30~99병상","내과","2015년","137",
"서울","30~99병상","신경과","2015년","6",
"서울","30~99병상","정신건강의학과","2015년","3",
"서울","30~99병상","외과","2015년","92",
"서울","30~99병상","정형외과","2015년","225",
"서울","30~99병상","신경외과","2015년","111",
"서울","30~99병상","흉부외과","2015년","1",
"서울","30~99병상","성형외과","2015년","32",
"서울","30~99병상","마취통증의학과","2015년","135",
"서울","30~99병상","산부인과","2015년","169",
"서울","30~99병상","소아청소년과","2015년","34",
"서울","30~99병상","안과","2015년","80",
"서울","30~99병상","이비인후과","2015년","19",
"서울","30~99병상","피부과","2015년","4",
"서울","30~99병상","비뇨기과","2015년","7",
"서울","30~99병상","영상의학과","2015년","104",
"서울","30~99병상","병리과","2015년","2",
"서울","30~99병상","진단검사의학과","2015년","1",
"서울","30~99병상","재활의학과","2015년","35",
"서울","30~99병상","핵의학과","2015년","3",
"서울","30~99병상","가정의학과","2015년","51",
"서울","30~99병상","응급의학과","2015년","3",
"서울","30~99병상","직업환경의학과","2015년","1",
"서울","300병상이상","내과","2015년","12",
"서울","300병상이상","신경과","2015년","9",
"서울","300병상이상","외과","2015년","2",
"서울","300병상이상","신경외과","2015년","1",
"서울","300병상이상","성형외과","2015년","1",
"서울","300병상이상","소아청소년과","2015년","1",
"서울","300병상이상","재활의학과","2015년","12",
"서울","300병상이상","가정의학과","2015년","3",
"서울","100~299병상","내과","2015년","66",
"서울","100~299병상","신경과","2015년","35",
"서울","100~299병상","정신건강의학과","2015년","7",
"서울","100~299병상","외과","2015년","20",
"서울","100~299병상","정형외과","2015년","7",
"서울","100~299병상","신경외과","2015년","7",
"서울","100~299병상","흉부외과","2015년","7",
"서울","100~299병상","마취통증의학과","2015년","1",
"서울","100~299병상","산부인과","2015년","5",
"서울","100~299병상","소아청소년과","2015년","2",
"서울","100~299병상","이비인후과","2015년","3",
"서울","100~299병상","비뇨기과","2015년","3",
"서울","100~299병상","방사선종양학과","2015년","1",
"서울","100~299병상","재활의학과","2015년","57",
"서울","100~299병상","가정의학과","2015년","41",
"서울","30~99병상","내과","2015년","7",
"서울","30~99병상","신경과","2015년","1",
"서울","30~99병상","정신건강의학과","2015년","1",
"서울","30~99병상","외과","2015년","4",
"서울","30~99병상","정형외과","2015년","11",
"서울","30~99병상","신경외과","2015년","2",
"서울","30~99병상","흉부외과","2015년","2",
"서울","30~99병상","성형외과","2015년","1",
"서울","30~99병상","안과","2015년","1",
"서울","30~99병상","진단검사의학과","2015년","1",
"서울","30~99병상","재활의학과","2015년","5",
"서울","30~99병상","가정의학과","2015년","8",
"서울","30~99병상","응급의학과","2015년","2",
"서울","병상있음","내과","2015년","147",
"서울","병상있음","신경과","2015년","12",
"서울","병상있음","정신건강의학과","2015년","38",
"서울","병상있음","외과","2015년","244",
"서울","병상있음","정형외과","2015년","276",
"서울","병상있음","신경외과","2015년","33",
"서울","병상있음","흉부외과","2015년","15",
"서울","병상있음","성형외과","2015년","142",
"서울","병상있음","마취통증의학과","2015년","133",
"서울","병상있음","산부인과","2015년","389",
"서울","병상있음","소아청소년과","2015년","56",
"서울","병상있음","안과","2015년","105",
"서울","병상있음","이비인후과","2015년","295",
"서울","병상있음","피부과","2015년","11",
"서울","병상있음","비뇨기과","2015년","80",
"서울","병상있음","영상의학과","2015년","55",
"서울","병상있음","방사선종양학과","2015년","1",
"서울","병상있음","병리과","2015년","3",
"서울","병상있음","진단검사의학과","2015년","3",
"서울","병상있음","결핵과","2015년","2",
"서울","병상있음","재활의학과","2015년","18",
"서울","병상있음","핵의학과","2015년","1",
"서울","병상있음","가정의학과","2015년","88",
"서울","병상있음","응급의학과","2015년","2",
"서울","병상있음","직업환경의학과","2015년","2",
"서울","병상있음","예방의학과","2015년","1",
"서울","병상없음","내과","2015년","1317",
"서울","병상없음","신경과","2015년","43",
"서울","병상없음","정신건강의학과","2015년","323",
"서울","병상없음","외과","2015년","266",
"서울","병상없음","정형외과","2015년","247",
"서울","병상없음","신경외과","2015년","51",
"서울","병상없음","흉부외과","2015년","45",
"서울","병상없음","성형외과","2015년","464",
"서울","병상없음","마취통증의학과","2015년","287",
"서울","병상없음","산부인과","2015년","502",
"서울","병상없음","소아청소년과","2015년","669",
"서울","병상없음","안과","2015년","458",
"서울","병상없음","이비인후과","2015년","453",
"서울","병상없음","피부과","2015년","609",
"서울","병상없음","비뇨기과","2015년","316",
"서울","병상없음","영상의학과","2015년","145",
"서울","병상없음","방사선종양학과","2015년","6",
"서울","병상없음","병리과","2015년","46",
"서울","병상없음","진단검사의학과","2015년","46",
"서울","병상없음","결핵과","2015년","17",
"서울","병상없음","재활의학과","2015년","122",
"서울","병상없음","가정의학과","2015년","1006",
"서울","병상없음","응급의학과","2015년","20",
"서울","병상없음","직업환경의학과","2015년","25",
"서울","병상없음","예방의학과","2015년","8",
"종로구","상급종합","내과","2015년","209",
"종로구","상급종합","신경과","2015년","32",
"종로구","상급종합","정신건강의학과","2015년","43",
"종로구","상급종합","외과","2015년","69",
"종로구","상급종합","정형외과","2015년","41",
"종로구","상급종합","신경외과","2015년","34",
"종로구","상급종합","흉부외과","2015년","23",
"종로구","상급종합","성형외과","2015년","13",
"종로구","상급종합","마취통증의학과","2015년","43",
"종로구","상급종합","산부인과","2015년","30",
"종로구","상급종합","소아청소년과","2015년","57",
"종로구","상급종합","안과","2015년","30",
"종로구","상급종합","이비인후과","2015년","29",
"종로구","상급종합","피부과","2015년","17",
"종로구","상급종합","비뇨기과","2015년","20",
"종로구","상급종합","영상의학과","2015년","86",
"종로구","상급종합","방사선종양학과","2015년","12",
"종로구","상급종합","병리과","2015년","30",
"종로구","상급종합","진단검사의학과","2015년","19",
"종로구","상급종합","재활의학과","2015년","14",
"종로구","상급종합","핵의학과","2015년","9",
"종로구","상급종합","가정의학과","2015년","25",
"종로구","상급종합","응급의학과","2015년","29",
"종로구","상급종합","직업환경의학과","2015년","5",
"종로구","상급종합","예방의학과","2015년","2",
"종로구","100~299병상","내과","2015년","10",
"종로구","100~299병상","신경과","2015년","4",
"종로구","100~299병상","정신건강의학과","2015년","2",
"종로구","100~299병상","외과","2015년","4",
"종로구","100~299병상","정형외과","2015년","11",
"종로구","100~299병상","신경외과","2015년","4",
"종로구","100~299병상","성형외과","2015년","2",
"종로구","100~299병상","마취통증의학과","2015년","4",
"종로구","100~299병상","산부인과","2015년","3",
"종로구","100~299병상","소아청소년과","2015년","2",
"종로구","100~299병상","안과","2015년","1",
"종로구","100~299병상","이비인후과","2015년","1",
"종로구","100~299병상","피부과","2015년","1",
"종로구","100~299병상","비뇨기과","2015년","2",
"종로구","100~299병상","영상의학과","2015년","3",
"종로구","100~299병상","병리과","2015년","1",
"종로구","100~299병상","진단검사의학과","2015년","2",
"종로구","100~299병상","가정의학과","2015년","3",
"종로구","100~299병상","응급의학과","2015년","7",
"종로구","30~99병상","내과","2015년","6",
"종로구","30~99병상","신경과","2015년","1",
"종로구","30~99병상","외과","2015년","2",
"종로구","30~99병상","정형외과","2015년","4",
"종로구","30~99병상","신경외과","2015년","1",
"종로구","30~99병상","마취통증의학과","2015년","1",
"종로구","30~99병상","산부인과","2015년","1",
"종로구","30~99병상","소아청소년과","2015년","1",
"종로구","30~99병상","안과","2015년","1",
"종로구","30~99병상","이비인후과","2015년","1",
"종로구","30~99병상","피부과","2015년","1",
"종로구","30~99병상","비뇨기과","2015년","1",
"종로구","30~99병상","영상의학과","2015년","3",
"종로구","30~99병상","병리과","2015년","1",
"종로구","30~99병상","재활의학과","2015년","3",
"종로구","30~99병상","가정의학과","2015년","1",
"종로구","30~99병상","응급의학과","2015년","3",
"종로구","병상있음","외과","2015년","5",
"종로구","병상있음","정형외과","2015년","6",
"종로구","병상있음","신경외과","2015년","2",
"종로구","병상있음","흉부외과","2015년","1",
"종로구","병상있음","성형외과","2015년","1",
"종로구","병상있음","마취통증의학과","2015년","4",
"종로구","병상있음","산부인과","2015년","9",
"종로구","병상있음","안과","2015년","10",
"종로구","병상있음","이비인후과","2015년","12",
"종로구","병상있음","비뇨기과","2015년","4",
"종로구","병상있음","영상의학과","2015년","1",
"종로구","병상있음","가정의학과","2015년","2",
"종로구","병상없음","내과","2015년","23",
"종로구","병상없음","정신건강의학과","2015년","19",
"종로구","병상없음","외과","2015년","9",
"종로구","병상없음","정형외과","2015년","3",
"종로구","병상없음","신경외과","2015년","3",
"종로구","병상없음","흉부외과","2015년","1",
"종로구","병상없음","성형외과","2015년","1",
"종로구","병상없음","마취통증의학과","2015년","6",
"종로구","병상없음","산부인과","2015년","8",
"종로구","병상없음","소아청소년과","2015년","4",
"종로구","병상없음","안과","2015년","9",
"종로구","병상없음","이비인후과","2015년","9",
"종로구","병상없음","피부과","2015년","8",
"종로구","병상없음","비뇨기과","2015년","9",
"종로구","병상없음","영상의학과","2015년","9",
"종로구","병상없음","병리과","2015년","2",
"종로구","병상없음","진단검사의학과","2015년","2",
"종로구","병상없음","재활의학과","2015년","2",
"종로구","병상없음","가정의학과","2015년","42",
"종로구","병상없음","직업환경의학과","2015년","5",
"중구","300~499병상","내과","2015년","39",
"중구","300~499병상","신경과","2015년","5",
"중구","300~499병상","정신건강의학과","2015년","4",
"중구","300~499병상","외과","2015년","12",
"중구","300~499병상","정형외과","2015년","7",
"중구","300~499병상","신경외과","2015년","5",
"중구","300~499병상","흉부외과","2015년","2",
"중구","300~499병상","성형외과","2015년","4",
"중구","300~499병상","마취통증의학과","2015년","11",
"중구","300~499병상","산부인과","2015년","43",
"중구","300~499병상","소아청소년과","2015년","11",
"중구","300~499병상","안과","2015년","5",
"중구","300~499병상","이비인후과","2015년","5",
"중구","300~499병상","피부과","2015년","4",
"중구","300~499병상","비뇨기과","2015년","8",
"중구","300~499병상","영상의학과","2015년","18",
"중구","300~499병상","방사선종양학과","2015년","2",
"중구","300~499병상","병리과","2015년","8",
"중구","300~499병상","진단검사의학과","2015년","4",
"중구","300~499병상","재활의학과","2015년","1",
"중구","300~499병상","핵의학과","2015년","2",
"중구","300~499병상","가정의학과","2015년","3",
"중구","300~499병상","응급의학과","2015년","7",
"중구","100~299병상","내과","2015년","18",
"중구","100~299병상","신경과","2015년","2",
