행정구역별,시군구별,유형별,병상수,기관수
경기,고양시일산동구,종합병원,500병상이상,3
경기,고양시일산서구,종합병원,500병상이상,1
경기,구리시,종합병원,500병상이상,1
경기,남양주시,종합병원,300~499병상,1
경기,남양주시,종합병원,100~299병상,2
경기,오산시,종합병원,300~499병상,1
경기,시흥시,종합병원,100~299병상,3
경기,군포시,종합병원,300~499병상,2
경기,용인시처인구,종합병원,100~299병상,2
경기,용인시기흥구,종합병원,100~299병상,1
경기,파주시,종합병원,100~299병상,1
경기,이천시,종합병원,100~299병상,1
경기,안성시,종합병원,100~299병상,1
경기,김포시,종합병원,300~499병상,1
경기,김포시,종합병원,100~299병상,1
경기,화성시,종합병원,500병상이상,1
경기,화성시,종합병원,100~299병상,1
경기,포천시,종합병원,100~299병상,2
강원,소계,상급종합,소계,1
강원,소계,종합병원,500병상이상,3
강원,소계,종합병원,300~499병상,3
강원,소계,종합병원,100~299병상,8
강원,춘천시,종합병원,500병상이상,1
강원,춘천시,종합병원,300~499병상,1
강원,원주시,상급종합,소계,1
강원,원주시,종합병원,100~299병상,1
강원,강릉시,종합병원,500병상이상,2
강원,강릉시,종합병원,100~299병상,2
강원,동해시,종합병원,300~499병상,1
강원,태백시,종합병원,300~499병상,1
강원,속초시,종합병원,100~299병상,2
강원,삼척시,종합병원,100~299병상,1
강원,홍천군,종합병원,100~299병상,1
강원,영월군,종합병원,100~299병상,1
충북,소계,상급종합,소계,1
충북,소계,종합병원,500병상이상,1
충북,소계,종합병원,300~499병상,5
충북,소계,종합병원,100~299병상,5
충북,청주시상당구,종합병원,300~499병상,2
충북,청주시서원구,상급종합,소계,1
충북,청주시서원구,종합병원,500병상이상,1
충북,청주시흥덕구,종합병원,300~499병상,1
충북,청주시청원구,종합병원,300~499병상,1
충북,충주시,종합병원,300~499병상,1
충북,충주시,종합병원,100~299병상,1
충북,제천시,종합병원,100~299병상,2
충북,옥천군,종합병원,100~299병상,1
충북,진천군,종합병원,100~299병상,1
충남,소계,상급종합,소계,2
충남,소계,종합병원,500병상이상,1
충남,소계,종합병원,300~499병상,2
충남,소계,종합병원,100~299병상,8
충남,천안시동남구,상급종합,소계,2
충남,천안시동남구,종합병원,100~299병상,1
충남,천안시서북구,종합병원,300~499병상,1
충남,공주시,종합병원,100~299병상,1
충남,보령시,종합병원,100~299병상,1
충남,아산시,종합병원,100~299병상,1
충남,서산시,종합병원,100~299병상,2
충남,논산시,종합병원,500병상이상,1
충남,당진시,종합병원,100~299병상,1
충남,홍성군,종합병원,300~499병상,1
충남,예산군,종합병원,100~299병상,1
전북,소계,상급종합,소계,2
전북,소계,종합병원,500병상이상,1
전북,소계,종합병원,300~499병상,1
전북,소계,종합병원,100~299병상,8
전북,전주시완산구,종합병원,500병상이상,1
전북,전주시완산구,종합병원,100~299병상,1
전북,전주시덕진구,상급종합,소계,1
전북,전주시덕진구,종합병원,100~299병상,1
전북,군산시,종합병원,300~499병상,1
전북,군산시,종합병원,100~299병상,1
전북,익산시,상급종합,소계,1
전북,익산시,종합병원,100~299병상,1
전북,정읍시,종합병원,100~299병상,1
전북,남원시,종합병원,100~299병상,1
전북,고창군,종합병원,100~299병상,1
전북,부안군,종합병원,100~299병상,1
전남,소계,상급종합,소계,1
전남,소계,종합병원,500병상이상,2
전남,소계,종합병원,300~499병상,5
전남,소계,종합병원,100~299병상,15
전남,목포시,종합병원,500병상이상,1
전남,목포시,종합병원,300~499병상,3
전남,목포시,종합병원,100~299병상,1
전남,여수시,종합병원,300~499병상,1
전남,여수시,종합병원,100~299병상,2
전남,순천시,종합병원,500병상이상,1
전남,순천시,종합병원,100~299병상,4
전남,나주시,종합병원,100~299병상,1
전남,광양시,종합병원,100~299병상,1
전남,고흥군,종합병원,100~299병상,2
전남,화순군,상급종합,소계,1
전남,장흥군,종합병원,100~299병상,1
전남,해남군,종합병원,300~499병상,1
전남,무안군,종합병원,100~299병상,1
전남,영광군,종합병원,100~299병상,2
경북,소계,종합병원,500병상이상,6
경북,소계,종합병원,300~499병상,4
경북,소계,종합병원,100~299병상,9
경북,포항시남구,종합병원,500병상이상,2
경북,포항시북구,종합병원,300~499병상,1
경북,포항시북구,종합병원,100~299병상,2
경북,경주시,종합병원,300~499병상,1
경북,김천시,종합병원,100~299병상,2
경북,안동시,종합병원,500병상이상,2
경북,안동시,종합병원,100~299병상,1
경북,구미시,종합병원,300~499병상,2
경북,구미시,종합병원,100~299병상,1
경북,영천시,종합병원,100~299병상,1
경북,상주시,종합병원,100~299병상,2
경북,문경시,종합병원,500병상이상,1
경북,경산시,종합병원,500병상이상,1
경남,소계,상급종합,소계,2
경남,소계,종합병원,500병상이상,1
경남,소계,종합병원,300~499병상,4
경남,소계,종합병원,100~299병상,17
경남,창원시의창구,종합병원,300~499병상,1
경남,창원시성산구,종합병원,300~499병상,1
경남,창원시성산구,종합병원,100~299병상,1
경남,창원시마산합포구,종합병원,300~499병상,1
경남,창원시마산합포구,종합병원,100~299병상,2
경남,창원시마산회원구,종합병원,500병상이상,1
경남,창원시마산회원구,종합병원,100~299병상,2
경남,창원시진해구,종합병원,100~299병상,1
경남,진주시,상급종합,소계,1
경남,진주시,종합병원,100~299병상,2
경남,김해시,종합병원,300~499병상,1
경남,김해시,종합병원,100~299병상,3
경남,밀양시,종합병원,100~299병상,1
경남,거제시,종합병원,100~299병상,3
경남,양산시,상급종합,소계,1
경남,양산시,종합병원,100~299병상,2
제주,소계,종합병원,500병상이상,2
제주,소계,종합병원,100~299병상,5
제주,제주시,종합병원,500병상이상,2
제주,제주시,종합병원,100~299병상,4
제주,서귀포시,종합병원,100~299병상,1
